,key,value
1387,爱心,589
1388,三岁半,1
1389,女儿,1
1390,睡前,14
1391,不听,155
1392,舍得,48
1393,半个,5
1394,钟,7
1395,听得,63
1396,贼,20
1397,难受要,1
1398,特地,20
1399,恶心,126
1400,伸直,2
1401,头一次,13
1402,丁姥爷,1
1403,删,108
1404,好友,51
1405,要点,6
1406,头像,47
1407,右上,1
1408,角,35
1409,三个,16
1410,删除,59
1411,确认,8
1412,4次,2
1413,火机,3
1414,长角,1
1415,别emo,4
1416,开开,42
1417,心心,56
1418,太上,4
1419,赛博,2
1420,酷毙,1
1421,辣外星,1
1422,到处,20
1423,假话,11
1424,信,89
1425,到底是,6
1426,生日,109
1427,快樂,1
1428,一部,12
1429,不需要,54
1430,伤疤字正腔圆,1
1431,展示,14
1432,于洧轩,1
1433,我无言歌秒,1
1434,经典,17
1435,老歌,12
1436,睡觉,247
1437,副歌,98
1438,意见,15
1439,春黑,1
1440,无趣,25
1441,共鸣,40
1442,配合,11
1443,到底是谁,55
1444,窗外,45
1445,自习,7
1446,似乎,32
1447,沉沉,1
1448,教室,25
1449,笔迹,1
1450,声,48
1451,竟,14
1452,般配,7
1453,嘴角,13
1454,门口,15
1455,身影,31
1456,微微,7
1457,上扬,5
1458,桌上,4
1459,数学,40
1460,题,41
1461,解题,4
1462,思路,4
1463,蓦然,3
1464,跃然,1
1465,纸上,6
1466,美好,133
1467,叭,38
1468,入场,1
1469,散场,12
1470,始于,9
1471,毕业,133
1472,下午,30
1473,平常,21
1474,背,26
1475,书包,16
1476,放学,20
1477,剩下,42
1478,不愿,53
1479,伤痛,14
1480,毕业照,3
1481,拍,67
1482,便,63
1483,成为,288
1484,口中,15
1485,一届,1
1486,三年前,12
1487,初次,6
1488,相见,90
1489,越来越,159
1490,马宇翔,1
1491,一年后,3
1492,还在,229
1493,笑死了难听死,1
1494,最近,343
1495,魔怔,15
1496,超,275
1497,太短,17
1498,留给,25
1499,遗憾,283
1500,一开始,64
1501,日方,1
1502,殊不知,5
1503,减法,1
1504,少,163
1505,来日不方长,1
1506,求,425
1507,开学,16
1508,下载,15
1509,几首歌,5
1510,从一开始,8
1511,直播,73
1512,片段,13
1513,就好,269
1514,合作,106
1515,梦幻,49
1516,联动,53
1517,转发,13
1518,火火,4
1519,代价,27
1520,肯定,113
1521,两面,5
1522,谩骂,7
1523,太多,244
1524,自私,27
1525,皱眉,61
1526,一辈子,168
1527,咬,126
1528,这样子,16
1529,耳,78
1530,捏,118
1531,纯粹,28
1532,那种我,9
1533,发发,14
1534,发生,90
1535,诉说,33
1536,社交,25
1537,软件,21
1538,已经很久,2
1539,新消息,1
1540,勇敢,144
1541,幸好,17
1542,光,120
1543,停留,54
1544,片刻,18
1545,很不错,35
1546,廉价,30
1547,心眼,6
1548,夫之所爱也罢世间何止几两花钱惜生之所物所爱不止乎身一生,1
1549,许之良,1
1550,死不渝,8
1551,苦,79
1552,甜,35
1553,恐怖,7
1554,悲哀,15
1555,当时,90
1556,满意,38
1557,拒绝,105
1558,表白,123
1559,不知,71
1560,固定,4
1561,几条,4
1562,回复,340
1563,淋雨,37
1564,嘞,164
1565,眼里,66
1566,海,110
1567,面对,91
1568,低下头,1
1569,半根,3
1570,学学,5
1571,啦啦,45
1572,不太,114
1573,能看懂,2
1574,er,6
1575,好多人,32
1576,三年,92
1577,制造,20
1578,埋,34
1579,wordplay,1
1580,现在凌晨,1
1581,14,1
1582,睡不着,104
1583,个性,11
1584,喜歡,26
1585,妳,22
1586,繁体字,18
1587,丢下,35
1588,小朋友,38
1589,再次,54
1590,结婚,108
1591,不嫁,1
1592,爱玩,8
1593,电麻,2
1594,直接,203
1595,搜,95
1596,去掉,7
1597,欧美,14
1598,白天,20
1599,名字,227
1600,最短,4
1601,情诗,1
1602,倒退,9
